SERVICE_REQUEST_ID	STATUS	SERVICE_NAME	SERVICE_CODE	DESCRIPTION	AGENCY_RESPONSIBLE	REQUESTED_DATETIME	UPDATED_DATETIME	EXPECTED_DATETIME	ADDRESS	ZIPCODE	LATITUDE	LONGITUDE	REQUESTED_DATE	UPDATED_DATE	LAST_TABLE_UPDATE
SR22082066	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-09-06	2022-09-06	2022-09-20	"""1237 ROSSMORE AV - GJ1804639690 """	45237	39.1791271720804	-84.4756971393083	09/06/2022 12:00:00 AM	09/06/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22076619	CLOS	"""Trash, improper set out"""	"""TRASH-I"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-08-18	2022-08-19	2022-08-19	"""614 STRAIGHT ST, CINC - GJ1378934137"""	45219	39.1301976070069	-84.5266813085094	08/18/2022 12:00:00 AM	08/19/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22052037	CLOS	"""Yard waste,rtc"""	"""YDWSTA-J"""	"""RTC"""	Public Services	2022-06-09	2022-06-09	2022-06-16	"""6833 HURD AV - GJ2644037377 """	45227	39.1561541079631	-84.3793902291301	06/09/2022 12:00:00 AM	06/09/2022 12:00:00 AM	06/09/2022 12:00:00 AM
SR22019360	CLOS	"""Building, residential"""	"""BLD-RES"""	"""NO HOT WATER"""	Cinc Building Dept	2022-03-01	2022-03-11	2023-03-01	"""2352 WILLIAMSBURG DR - GJ1077136834 """	45225	39.155207068281	-84.5607361567357	03/01/2022 12:00:00 AM	03/11/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22005019	NEW	"""Default, police (and junk veh)"""	"""DFLTPLC"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Police Department	2022-01-20	2022-01-20	2022-01-21	"""1901 MONTROSE ST, CINC - GJ1071033734"""	45214	39.1273182315668	-84.5624047007471	01/20/2022 12:00:00 AM	01/20/2022 12:00:00 AM	01/20/2022 12:00:00 AM
SR22048258	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-29	2022-05-29	2022-06-12	"""576 TERRACE AV, CINC - GJ1367735510"""	45220	39.1425823000753	-84.5275426442377	05/29/2022 12:00:00 AM	05/29/2022 12:00:00 AM	05/29/2022 12:00:00 AM
SR22057735	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-25	2022-06-25	2022-07-09	"""6607 DALY RD, CINC - GJ1309342983"""	45224	39.2099993495966	-84.5319386761213	06/25/2022 12:00:00 AM	06/25/2022 12:00:00 AM	06/25/2022 12:00:00 AM
SR22044016	NEW	"""Tall grass/weeds, PS property"""	"""TLGR-PS"""	"""CITY OWNED PROPERTY BETWEEN MANSS AVE AND BEECH AVE  THERE IS A STRIP OF CITY OWNED PROPERTY THAT HAS OVERGROWN GRASS AND WEEDS"""	Public Services	2022-05-17	2022-05-17	2022-07-16	"""1254 MANSS AV - GJ0941232434 """	45205	39.115917467058	-84.57781145653	05/17/2022 12:00:00 AM	05/17/2022 12:00:00 AM	05/17/2022 12:00:00 AM
SR22036437	CLOS	"""Yard waste,rtc"""	"""YDWSTA-J"""	"""rtc"""	Public Services	2022-04-26	2022-04-29	2022-05-03	"""1021 FAIRBANKS AV - GJ1024931912 """	45205	39.1110205901223	-84.5682968330947	04/26/2022 12:00:00 AM	04/29/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22103181	NEW	"""Vehicle, abandoned in street"""	"""PLCJUNKV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Police Department	2022-11-23	2022-11-23	2022-11-24	"""1667 HAMER ST, CINC - GJ1475132511"""	45202	39.1153214980805	-84.5160819702015	11/23/2022 12:00:00 AM	11/23/2022 12:00:00 AM	11/23/2022 12:00:00 AM
SR22022610	CLOS	"""Recycling, collect green cart"""	"""RCYCLNG"""	"""RECYCLING LEFT AT THE CURB- NOT COLLECTED """	City Manager's Office	2022-03-10	2022-03-11	2022-03-11	"""6026 CONNECTICUT CT - GJ1076641922 """	45224	39.2010105128181	-84.5592066719104	03/10/2022 12:00:00 AM	03/11/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22064482	OPEN	"""Vehicle, abandon priv p no acc"""	"""ABAN-VNA"""	"""JV"""	Cinc Health Dept	2022-07-14	2022-07-14	2022-09-02	"""6239 CORTELYOU AV - GJ2189940559 """	45213	39.1859707984679	-84.4308508745197	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM
SR22088245	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-09-26	2022-09-26	2022-10-10	"""207 STURGIS AV, CINC - GJ1640537228"""	45217	39.1573676790556	-84.4954565030151	09/26/2022 12:00:00 AM	09/26/2022 12:00:00 AM	09/26/2022 12:00:00 AM
SR22018079	CLOS	"""Pothole, repair"""	"""PTHOLE"""	"""SEVERAL POTHOLES ON WOOSTER RD"""	Public Services	2022-02-25	2022-03-01	2022-03-09	"""WOOSTER RD & BEECHMONT AV - GJ2357033102 """	45226	39.1184203511241	-84.4139779954815	02/25/2022 12:00:00 AM	03/01/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22015705	CLOS	"""Tires, Special Collection"""	"""TIRES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-21	2022-03-03	2022-03-07	"""5820 BLUESPRUCE LN, CINC - GJ1078241415"""	45224	39.1964466987751	-84.5591717208279	02/21/2022 12:00:00 AM	03/03/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22062421	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-08	2022-07-08	2022-07-22	"""3225 VINE ST, CINC - GJ1522535134"""	45220	39.1388191261969	-84.5097591102455	07/08/2022 12:00:00 AM	07/08/2022 12:00:00 AM	07/08/2022 12:00:00 AM
SR21039469	CLOS	"""Building, residential"""	"""BLD-RES"""	"""DOORWAY BROKEN/HALLWAY LEAKING/TALL GRASS/TRASH"""	Cinc Building Dept	2021-05-12	2021-05-27	2022-05-12	"""660 STRAIGHT ST - GJ1362734145 """	45214	39.1303048034509	-84.52856029387	05/12/2021 12:00:00 AM	05/27/2021 12:00:00 AM	05/27/2021 12:00:00 AM
SR22076846	CLOS	"""Light, repair"""	"""STRTLITE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-08-19	2022-08-19	2022-08-20	"""3666 GRANDIN RD, CINC - GJ2222033327"""	45226	39.1207911390811	-84.4295020640737	08/19/2022 12:00:00 AM	08/19/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR21077886	CLOS	"""Rats in sewer, rem req"""	"""RTSNSWR"""	"""RATS COMING OUT OF SEWER ON GREEN ST & REPUBLIC"""	Cinc Health Dept	2021-09-01	2021-09-13	2022-03-02	"""GREEN ST & REPUBLIC ST - GJ1468232405 """	45202	39.114375991775	-84.5169150437313	09/01/2021 12:00:00 AM	09/13/2021 12:00:00 AM	09/13/2021 12:00:00 AM
SR22025358	NEW	"""Building, residential"""	"""BLD-RES"""	"""AC UNIT LEAKS WHEN IT RIAINS"""	Cinc Building Dept	2022-03-21	2022-03-21	2023-03-21	"""6351 BEECHMONT AV - GJ2637129614 """	45230	39.0862976925546	-84.3827712988093	03/21/2022 12:00:00 AM	03/21/2022 12:00:00 AM	03/21/2022 12:00:00 AM
SR22023424	OPEN	"""Tall grass/weeds, PS property"""	"""TLGR-PS"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-14	2022-03-16	2022-05-13	"""3083 VEAZEY AV, CINC - GJ0706434115"""	45238	39.1316189848895	-84.6044295739387	03/14/2022 12:00:00 AM	03/16/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22042630	NEW	"""ROW furniture/trash dumping"""	"""RWFRNTRT"""	"""100 FT SOUTH OF THAT ENTRANCE GATE- THERE ARE MULTIPLE BOXES THAT HAVE BEEN DUMPED """	Public Services	2022-05-13	2022-05-13	2022-05-20	"""5200 LESTER RD - GJ2197738530 """	45213	39.1676847102822	-84.4306060319372	05/13/2022 12:00:00 AM	05/13/2022 12:00:00 AM	05/13/2022 12:00:00 AM
SR22091243	NEW	"""Building, residential"""	"""BLD-RES"""	"""KITCHEN SINK LEAKS/BATHROOM SINK AND TUB LEAK/BASEMENT LEAKS"""	Cinc Building Dept	2022-10-06	2022-10-06	2023-10-06	"""1334 CHAPEL ST - GJ1781034325 """	45206	39.1308837349135	-84.4801491447171	10/06/2022 12:00:00 AM	10/06/2022 12:00:00 AM	10/06/2022 12:00:00 AM
SR22017257	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-23	2022-03-04	2022-03-09	"""654 PEDRETTI AV, CINC - GJ0766631274"""	45238	39.1058968468734	-84.598333813694	02/23/2022 12:00:00 AM	03/04/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22103849	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-28	2022-11-28	2022-12-12	"""5662 BUTTERCUP LN, CINC - GJ0940341450"""	45239	39.1970963961339	-84.5751158996828	11/28/2022 12:00:00 AM	11/28/2022 12:00:00 AM	11/28/2022 12:00:00 AM
SR22052305	NEW	"""Default, City"""	"""DFLTCITY"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-09	2022-06-09	2022-06-19	"""3288 BOWLING GREEN CT, CINC - GJ1138935625"""	45225	39.1441770881138	-84.5539587238327	06/09/2022 12:00:00 AM	06/09/2022 12:00:00 AM	06/09/2022 12:00:00 AM
SR22027352	NEW	"""Building, vacant and open res"""	"""BLD_VACR"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2022-03-28	2022-03-28	2022-06-08	"""545 KLOTTER AV, CINC - GJ1348133285"""	45214	39.1226001090123	-84.5305099015044	03/28/2022 12:00:00 AM	03/28/2022 12:00:00 AM	03/28/2022 12:00:00 AM
SR22050749	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-06	2022-06-06	2022-06-20	"""2536 ELMDALE DR, CINC - GJ2554031467"""	45230	39.1032002520605	-84.3917497946672	06/06/2022 12:00:00 AM	06/06/2022 12:00:00 AM	06/06/2022 12:00:00 AM
SR22057568	NEW	"""Trash cart, registration"""	"""TRSHCRTR"""	"""2 SETS OF REGISTRATION STICKERS"""	Public Services	2022-06-24	2022-06-24	2022-07-16	"""541 W MCMICKEN AV - GJ1349733197 """	45214	39.1217926287386	-84.5303561365345	06/24/2022 12:00:00 AM	06/24/2022 12:00:00 AM	06/24/2022 12:00:00 AM
SR22056807	CLOS	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-23	2022-06-23	2022-06-30	"""5092 OVERBROOK PL, CINC - GJ2365938246"""	45227	39.1647043115644	-84.4112485153283	06/23/2022 12:00:00 AM	06/23/2022 12:00:00 AM	06/23/2022 12:00:00 AM
SR22033168	CLOS	"""Recycling, collect green cart"""	"""RCYCLNG"""	"""MISSED RECYCLING - RTC """	City Manager's Office	2022-04-15	2022-04-16	2022-04-16	"""2168 MILLVALE CT - GJ1135936369 """	45225	39.1508732486646	-84.554083832227	04/15/2022 12:00:00 AM	04/16/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22069380	NEW	"""Tall grass/weeds, private prop"""	"""TLGR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-27	2022-07-27	2022-09-10	"""2931 ROBERTSON AV, CINC - GJ2173637170"""	45209	39.1555114888715	-84.4338413234578	07/27/2022 12:00:00 AM	07/27/2022 12:00:00 AM	07/27/2022 12:00:00 AM
SR22026587	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""SPECIAL COLLECTION """	Public Services	2022-03-24	2022-03-24	2022-04-07	"""841 VAN DYKE AV - GJ2235033855 """	45226	39.1255096181846	-84.427829846394	03/24/2022 12:00:00 AM	03/24/2022 12:00:00 AM	03/24/2022 12:00:00 AM
SR22077226	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-08-22	2022-08-22	2022-09-05	"""1346 CHAPEL ST - GJ1785534331 """	45206	39.130925644203	-84.4796249345587	08/22/2022 12:00:00 AM	08/22/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22103123	PEND	"""Recycling, remove cart"""	"""REMOVE"""	"""please remove one recycling toter"""	City Manager's Office	2022-11-23	2022-11-23	2022-12-10	"""3854 STANDISH AV - GJ2408840511 """	45213	39.1849804159451	-84.4055435516277	11/23/2022 12:00:00 AM	11/23/2022 12:00:00 AM	11/23/2022 12:00:00 AM
SR22048244	NEW	"""Pothole, repair"""	"""PTHOLE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-29	2022-05-29	2022-06-10	"""1957 LEHIGH AV, CINC - GJ2585830014"""	45230	39.090037329389	-84.3885555518137	05/29/2022 12:00:00 AM	05/29/2022 12:00:00 AM	05/29/2022 12:00:00 AM
SR22082456	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-09-07	2022-09-07	2022-09-21	"""2410 GRANDVIEW AV - GJ1788033617 """	45206	39.1244946944203	-84.4795708308567	09/07/2022 12:00:00 AM	09/07/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22107646	NEW	"""Manhole cvr/sewer lid, missing"""	"""MNHLCVRM"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-12-12	2022-12-12	2022-12-13	"""1554 GLEN PARKER AV, CINC - GJ1260638618"""	45223	39.1708290660898	-84.5389420611311	12/12/2022 12:00:00 AM	12/12/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22049366	NEW	"""Dumping, prv prop <2500 sq ft"""	"""DUMP-PVS"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-01	2022-06-01	2022-07-16	"""6510 HEDGE AV, CINC - GJ2417940717"""	45213	39.1868116540929	-84.4044039931	06/01/2022 12:00:00 AM	06/01/2022 12:00:00 AM	06/01/2022 12:00:00 AM
SR22108438	CLOS	"""Trash, citation issued"""	"""TRSHCITE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-12-15	2022-12-19	2022-12-22	"""4226 CENTURY LN, CINC - GJ0832131745"""	45205	39.1099827359444	-84.5906263237976	12/15/2022 12:00:00 AM	12/19/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22058584	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-06-28	2022-06-28	2022-07-12	"""2390 BOUDINOT AV - GJ0702333963 """	45238	39.1302527607411	-84.6049528754671	06/28/2022 12:00:00 AM	06/28/2022 12:00:00 AM	06/28/2022 12:00:00 AM
SR22016640	CLOS	"""Pothole, repair"""	"""PTHOLE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-23	2022-02-24	2022-03-07	"""3522 WERK RD, CINC - GJ0569035191"""	45211	39.1416289411566	-84.6199930325542	02/23/2022 12:00:00 AM	02/24/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22059653	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-30	2022-06-30	2022-07-14	"""1926 CLARION AV, CINC - GJ1910035877"""		39.1445343334134	-84.464730095108	06/30/2022 12:00:00 AM	06/30/2022 12:00:00 AM	06/30/2022 12:00:00 AM
SR22037088	CLOS	"""Sign, down/missing """	"""STRSGN"""	"""PER 579@ 1:35PM- RESET BUS STOP SIGN """	Public Services	2022-04-27	2022-04-27	2022-04-28	"""4442 W 8TH ST - GJ0776031638 """	45238	39.1091454085762	-84.597144055892	04/27/2022 12:00:00 AM	04/27/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22015836	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-21	2022-03-03	2022-03-07	"""2927 WARDALL AV, CINC - GJ0773136889"""	45211	39.1564394635918	-84.5958671431244	02/21/2022 12:00:00 AM	03/03/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22048364	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-30	2022-05-30	2022-06-13	"""826 FINDLAY ST, CINC - GJ1370732588"""	45214	39.1162731577536	-84.5281203273603	05/30/2022 12:00:00 AM	05/30/2022 12:00:00 AM	05/30/2022 12:00:00 AM
SR22073727	CLOS	"""Dead animal"""	"""DAPUB1"""	"""DEAD DEER """	Public Services	2022-08-10	2022-08-10	2022-08-11	"""2266 BALTIMORE AV - GJ1067036018 """	45225	39.1478791419055	-84.5621614173355	08/10/2022 12:00:00 AM	08/10/2022 12:00:00 AM	08/10/2022 12:00:00 AM
SR22086707	CLOS	"""Signal, traf/ped/school repair"""	"""TSIG-MAL"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-09-20	2022-09-20	2022-09-21	"""545 RACE ST, CINC - """	45202	39.1015304867063	-84.5149113026999	09/20/2022 12:00:00 AM	09/20/2022 12:00:00 AM	09/20/2022 12:00:00 AM
SR22027445	OPEN	"""Sign, down/missing stop sign"""	"""SGNDNA"""	"""PER 597-3/26/22- TEMP STOP SIGNED PLACED"""	Public Services	2022-03-28	2022-03-28	2022-03-29	"""NEWBEDFORD AV & SPARKLE DR - GJ1952142716 """	45237	39.2059950352401	-84.4576598435712	03/28/2022 12:00:00 AM	03/28/2022 12:00:00 AM	03/28/2022 12:00:00 AM
SR22070598	CLOS	"""Pothole, repair"""	"""PTHOLE"""	"""POTHOLE REPAIR FROM 3200 WERK RD - 3270 WERK RD"""	Public Services	2022-08-01	2022-08-01	2022-08-13	"""3201 WERK RD - GJ0668435092 """	45211	39.1405004472252	-84.6085324680011	08/01/2022 12:00:00 AM	08/01/2022 12:00:00 AM	08/01/2022 12:00:00 AM
SR21029852	OPEN	"""Building, residential"""	"""BLD-RES"""	"""no electric to some parts of the building"""	Cinc Building Dept	2021-04-12	2021-06-17	2022-04-12	"""2660 LEHMAN RD - GJ1173732608 """	45214	39.1169243311611	-84.5508888958076	04/12/2021 12:00:00 AM	06/17/2021 12:00:00 AM	06/17/2021 12:00:00 AM
SR22004572	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""SPECIAL COLLECTION """	Public Services	2022-01-19	2022-01-19	2022-02-02	"""5500 KIRBY AV - GJ1001541068 """	45239	39.1935046556376	-84.5681664364667	01/19/2022 12:00:00 AM	01/19/2022 12:00:00 AM	01/19/2022 12:00:00 AM
SR22065880	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-07-18	2022-07-18	2022-08-01	"""3449 WILSON AV - GJ1577335705 """	45229	39.143814627877	-84.5032574633921	07/18/2022 12:00:00 AM	07/18/2022 12:00:00 AM	07/18/2022 12:00:00 AM
SR22056615	NEW	"""Tall grass/weeds, private prop"""	"""TLGR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-22	2022-06-22	2022-08-06	"""811 PURCELL AV, CINC - GJ1056231407"""	45205	39.1064053291144	-84.5648300428483	06/22/2022 12:00:00 AM	06/22/2022 12:00:00 AM	06/22/2022 12:00:00 AM
SR22000967	NEW	"""Building, residential"""	"""BLD-RES"""	"""Reissuing case B202003287"""	Cinc Building Dept	2022-01-05	2022-01-05	2023-01-05	"""1128 MANSION AV - GJ1044932145 """	45205	39.1130678255981	-84.5659210594562	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM
SR22062506	NEW	"""Yard waste,rtc"""	"""YDWSTA-J"""	"""rtc whole street"""	Public Services	2022-07-08	2022-07-08	2022-07-15	"""4149 GORDON ST - GJ1193737835 """	45223	39.1639320919131	-84.5469441596299	07/08/2022 12:00:00 AM	07/08/2022 12:00:00 AM	07/08/2022 12:00:00 AM
SR22051021	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-07	2022-06-07	2022-06-21	"""3721 SONOMA CT, CINC - GJ2324738639"""	45227	39.1683518097599	-84.4158810991564	06/07/2022 12:00:00 AM	06/07/2022 12:00:00 AM	06/07/2022 12:00:00 AM
SR22024113	CLOS	"""Special collections, rtc"""	"""BLKYTMST"""	"""RTC- SR20975 """	Public Services	2022-03-16	2022-03-16	2022-03-23	"""6229 LISBON AV - GJ2146440513 """	45213	39.1856697070995	-84.4358993952923	03/16/2022 12:00:00 AM	03/16/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22057922	CLOS	"""Trash, no trash at location"""	"""TRSHNTRL"""	"""PER 691-  NOT OUT """	Public Services	2022-06-27	2022-06-27	2022-07-04	"""1101 DAYTON ST - GJ1327732810 """	45214	39.1183678324635	-84.5330248024449	06/27/2022 12:00:00 AM	06/27/2022 12:00:00 AM	06/27/2022 12:00:00 AM
SR22103523	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-25	2022-11-25	2022-12-09	"""7228 READING RD, CINC - GJ1933241336"""	45237	39.1936228044856	-84.4602761185024	11/25/2022 12:00:00 AM	11/25/2022 12:00:00 AM	11/25/2022 12:00:00 AM
SR22028629	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-31	2022-03-31	2022-04-14	"""2954 BODLEY AV, CINC - GJ1094130989"""	45205	39.1025481930408	-84.5605787566952	03/31/2022 12:00:00 AM	03/31/2022 12:00:00 AM	03/31/2022 12:00:00 AM
SR22001920	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-01-10	2022-01-10	2022-01-24	"""2530 RIDGELAND PL, CINC - GJ2099339225"""	45212	39.1741939740002	-84.4417576938384	01/10/2022 12:00:00 AM	01/10/2022 12:00:00 AM	01/10/2022 12:00:00 AM
SR21061415	CLOS	"""Parking, grass front yd res"""	"""PRKNGYRD"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-07-13	2021-08-17	2022-01-09	"""705 ELBERON AV, CINC - GJ1039531161"""	45205	39.1042218508689	-84.5668385595195	07/13/2021 12:00:00 AM	08/17/2021 12:00:00 AM	08/17/2021 12:00:00 AM
SR22063734	NEW	"""Trash cart, registration"""	"""TRSHCRTR"""	"""REQUESTING SET OF STICKERS (1)"""	Public Services	2022-07-12	2022-07-12	2022-08-03	"""3126 GLENMORE AV - GJ0627535230 """	45211	39.1418405285453	-84.6132174185815	07/12/2022 12:00:00 AM	07/12/2022 12:00:00 AM	07/12/2022 12:00:00 AM
